url	title	provider	monitor	os	front_cam	back_cam	cpu	ram	rom	SD	SIM	battery
https://thegioididong.com/dtdd/vsmart-joy-2-plus-2gb	Điện thoại Vsmart Joy 2+ (2GB/32GB)	thegioididong	IPS LCD, 6.2", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 5 MP	8 MP	Qualcomm Snapdragon 450 8 nhân 64-bit	2 GB	32 GB	MicroSD, hỗ trợ tối đa 128 GB	2 Nano SIM, Hỗ trợ 4G	4500 mAh, có sạc nhanh
https://thegioididong.com/dtdd/xiaomi-redmi-8a	Điện thoại Xiaomi Redmi 8A	thegioididong	IPS LCD, 6.22", HD+	Android 9.0 (Pie)	12 MP	8 MP	Qualcomm Snapdragon 439 8 nhân 64-bit	2 GB	32 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/realme-c2-16gb	Điện thoại Realme C2 (2GB/16GB)	thegioididong	IPS LCD, 6.1", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 2 MP	5 MP	MediaTek MT6762 8 nhân 64-bit (Helio P22)	2 GB	16 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/realme-c2-2gb-32gb	Điện thoại Realme C2 (2GB/32GB)	thegioididong	IPS LCD, 6.1", HD+	Android 9.0 (Pie)	Chính 13 MP & Phụ 2 MP	5 MP	MediaTek MT6762 8 nhân (Helio P22)	2 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/nokia-32-16gb	Điện thoại Nokia 3.2 16GB	thegioididong	IPS LCD, 6.2", HD+	Android 9 Pie (Android One)	13 MP	5 MP	Snapdragon 429 4 nhân	2 GB	16 GB	MicroSD, hỗ trợ tối đa 400 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/xiaomi-redmi-7a	Điện thoại Xiaomi Redmi 7A (2GB/32GB)	thegioididong	IPS LCD, 5.45", HD+	Android 9.0 (Pie)	12 MP	5 MP	Snapdragon 439 8 nhân	2 GB	32 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh
https://thegioididong.com/dtdd/coolpad-n5	Điện thoại Coolpad N5	thegioididong	IPS LCD, 6.2", HD+	Android 8.1 (Oreo)	Chính 13 MP & Phụ 0.3 MP	5 MP	MediaTek MT6739 4 nhân	3 GB	32 GB	MicroSD, hỗ trợ tối đa 64 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	3050 mAh
https://thegioididong.com/dtdd/vsmart-star	Điện thoại Vsmart Star	thegioididong	IPS LCD, 5.7", HD+	Android 9.0 (Pie)	Chính 8 MP & Phụ 2 MP	5 MP	Snapdragon 215 4 nhân	2 GB	16 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	3000 mAh
https://thegioididong.com/dtdd/itel-s15-pro	Điện thoại Itel S15 Pro	thegioididong	IPS LCD, 6.1", HD+	Android 9.0 (Pie)	Chính 8 MP & Phụ VGA, VGA	16 MP	Spreadtrum SC9863A 8 nhân	2 GB	32 GB	MicroSD, hỗ trợ tối đa 128 GB	2 Nano SIM	3000 mAh
https://thegioididong.com/dtdd/xiaomi-redmi-go-16gb	Điện thoại Xiaomi Redmi Go 16GB	thegioididong	IPS LCD, 5", HD	Android 8 Oreo (Go Edition)	8 MP	5 MP	Qualcomm Snapdragon 425 4 nhân 64-bit	1 GB	16 GB	MicroSD, hỗ trợ tối đa 128 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	3000 mAh
https://thegioididong.com/dtdd/mobell-s61	Điện thoại Mobell S61	thegioididong	IPS LCD, 5.5", HD+	Android 8 Oreo (Go Edition)	Chính 8 MP & Phụ 0.3 MP	5 MP	Spreadtrum SC7731E 4 nhân	1 GB	16 GB	MicroSD, hỗ trợ tối đa 64 GB	1 Nano SIM & 1 Micro SIM	2500 mAh
https://thegioididong.com/dtdd/mobell-nova-p3	Điện thoại Mobell Nova P3	thegioididong	IPS LCD, 5.5", HD	Android 7.0 (Nougat)	8 MP	8 MP	MediaTek MT6580 4 nhân	2 GB	16 GB	MicroSD, hỗ trợ tối đa 32 GB	2 Micro SIM	3250 mAh
https://thegioididong.com/dtdd/itel-p15	Điện thoại Itel P15	thegioididong	IPS LCD, 5", FWVGA	Android 9.0 (Go Edition)	5 MP	5 MP	Spreadtrum SC7731E 4 nhân	2 GB	16 GB	MicroSD, hỗ trợ tối đa 64 GB	2 Nano SIM	4000 mAh
https://thegioididong.com/dtdd/vsmart-bee	Điện thoại Vsmart Bee	thegioididong	IPS LCD, 5.45", HD+	Android 8.1 (Oreo)	8 MP	5 MP	MediaTek MT6739 4 nhân	1 GB	16 GB	MicroSD, hỗ trợ tối đa 64 GB	2 Nano SIM, Hỗ trợ 4G	2500 mAh
https://thegioididong.com/dtdd/itel-s33	Điện thoại Itel S33	thegioididong	IPS LCD, 6.0", HD+	Android 9.0 (Go Edition)	Chính 8 MP & Phụ VGA	13 MP	MediaTek MT6580 4 nhân	1 GB	16 GB	MicroSD, hỗ trợ tối đa 64 GB	2 Micro SIM	3000 mAh
https://thegioididong.com/dtdd/itel-p33	Điện thoại Itel P33	thegioididong	IPS LCD, 5.5", HD+	Android 8.1 (Oreo)	Chính 8 MP & Phụ VGA	5 MP	Spreadtrum SC7731E 4 nhân	1 GB	16 GB	MicroSD, hỗ trợ tối đa 64 GB	2 Nano SIM	4000 mAh
https://thegioididong.com/dtdd/masstel-x5-fami	Điện thoại Masstel X5 Fami	thegioididong	IPS LCD, 5.45", HD+	Android 8.1 (Oreo)	8 MP	5 MP	Spreadtrum SC7731E 4 nhân	1 GB	8 GB	MicroSD, hỗ trợ tối đa 32 GB	2 Micro SIM	3200 mAh
https://thegioididong.com/dtdd/mobell-s51	Điện thoại Mobell S51	thegioididong	IPS LCD, 5.5", HD+	Android 8 Oreo (Go Edition)	Chính 5 MP & Phụ 0.3 MP	5 MP	Spreadtrum SC7731 4 nhân	1 GB	8 GB	MicroSD, hỗ trợ tối đa 32 GB	1 Nano SIM & 1 Micro SIM	2500 mAh
https://thegioididong.com/dtdd/coolpad-n3c	Điện thoại Coolpad N3C	thegioididong	IPS LCD, 5.45", HD+	Android 8.1 (Oreo)	5 MP	5 MP	Spreadtrum SC9850K 4 nhân	1 GB	16 GB	MicroSD, hỗ trợ tối đa 32 GB	2 Nano SIM, Hỗ trợ 4G	2300 mAh
https://thegioididong.com/dtdd/mobell-s41	Điện thoại Mobell S41	thegioididong	LCD, 5", FWVGA	Android 8 Oreo (Go Edition)	5 MP	2 MP	MediaTek MT6580M 4 nhân	1 GB	8 GB	MicroSD, hỗ trợ tối đa 32 GB	1 Nano SIM & 1 Micro SIM	2200 mAh
https://thegioididong.com/dtdd/itel-alpha-lite	Điện thoại Itel Alpha Lite	thegioididong	TFT, 5", FWVGA	Android 8.1 (Oreo)	5 MP	2 MP	Spreadtrum SC7731E 4 nhân	1 GB	8 GB	MicroSD, hỗ trợ tối đa 128 GB	1 Micro SIM & 1 SIM thường	2050 mAh
